order_id,delivery_partner_id,promised_time,actual_time,delivery_time_minutes,distance_km,delivery_status,reasons_if_delayed,,,,,,
1961864118,63230,17-07-2024 08:52,17-07-2024 08:47,-5,0.96,On Time,,,,,,,
1549769649,63230,28-05-2024 13:25,28-05-2024 13:27,2,0.98,On Time,Traffic,,,,,,
9185164487,63230,23-09-2024 13:25,23-09-2024 13:29,4,3.83,On Time,Traffic,,,,,0.694,
9644738826,63230,24-11-2023 16:34,24-11-2023 16:33,-1,2.76,On Time,,,,,,,
5427684290,63230,20-11-2023 05:17,20-11-2023 05:18,1,2.63,On Time,Traffic,,,,,,
3265154092,63230,18-03-2023 16:49,18-03-2023 16:48,-1,1.94,On Time,,,,,,,
4898355547,63230,16-04-2023 19:01,16-04-2023 19:02,1,2.2,On Time,Traffic,,,,,,
6568151549,63230,31-03-2024 06:37,31-03-2024 06:39,2,1.3,On Time,Traffic,,,,,,
6006693867,63230,14-07-2023 00:02,14-07-2023 00:05,3,3.38,On Time,Traffic,,,,,,
374186990,63230,09-08-2023 01:37,09-08-2023 01:44,7,1.47,Slightly Delayed,Traffic,,,,,,
4455336265,63230,30-08-2023 19:47,30-08-2023 19:45,-2,0.76,On Time,,,,,,,
3539286337,63230,25-04-2023 20:44,25-04-2023 20:39,-5,3.68,On Time,,,,,,,
9171116867,63230,22-10-2023 11:25,22-10-2023 11:37,12,2.23,Slightly Delayed,Traffic,,,,,,
5504941865,63230,28-01-2024 02:55,28-01-2024 03:06,11,4.45,Slightly Delayed,Traffic,,,,,,
5868326481,63230,15-03-2024 21:24,15-03-2024 21:21,-3,2.8,On Time,,,,,,,
2137046916,63230,03-02-2024 09:03,03-02-2024 09:01,-2,1.78,On Time,,,,,,,
8195544338,63230,26-04-2023 04:20,26-04-2023 04:28,8,1.16,Slightly Delayed,Traffic,,,,,,
2889700050,63230,30-04-2024 16:33,30-04-2024 16:36,3,3.07,On Time,Traffic,,,,,,
65827885,63230,27-07-2023 00:25,27-07-2023 00:20,-5,1.65,On Time,,,,,,,
4656471694,63230,09-12-2023 08:27,09-12-2023 08:35,8,3.7,Slightly Delayed,Traffic,,,,,,
6625178717,63230,01-07-2023 04:40,01-07-2023 04:53,13,4.22,Slightly Delayed,Traffic,,,,,,
7169557514,63230,21-03-2023 05:38,21-03-2023 05:50,12,3.28,Slightly Delayed,Traffic,,,,,,
2268306684,63230,28-05-2024 15:11,28-05-2024 15:10,-1,1.82,On Time,,,,,,,
6905293278,63230,16-06-2024 10:36,16-06-2024 11:02,26,0.58,Significantly Delayed,Traffic,,,,,,
1769493463,63230,26-06-2024 07:29,26-06-2024 07:24,-5,1.21,On Time,,,,,,,
5003387344,63230,23-06-2024 11:05,23-06-2024 11:00,-5,4.52,On Time,,,,,,,
2064484752,63230,07-05-2024 23:00,07-05-2024 22:55,-5,2.29,On Time,,,,,,,
964822979,63230,13-07-2024 10:49,13-07-2024 10:47,-2,1.09,On Time,,,,,,,
